ID,,front/title,front/icon,front/description,,back/title,back/icon,back/description
chinese-essencial-in-communication-1-thai-to-be-free,有空儿,有空儿,,yǒukòngr,to be free,ว่าง,🧘,你**有空儿**吗？ (Nǐ **yǒukòngr**) ma? คุณ**ว่าง**ไหม?
chinese-essencial-in-communication-1-thai-to-put-off-until-some-time-later,再说,再说,,zàishuō,to put off until some time later,"ค่อยว่ากัน, เอาไว้ก่อน",⏭️,我们**再说**吧。 (Wǒmen **zàishuō**) ba. พวกเรา**ค่อยว่ากัน**นะ
chinese-essencial-in-communication-1-thai-really,真的,真的,,zhēn de,really,จริงหรือ,😲,是**真的**吗？ (Shì **zhēn de**) ma? เป็นเรื่อง**จริงหรือ**?
chinese-essencial-in-communication-1-thai-nothing,没什么,没什么,,méi shénme,nothing,ไม่มีอะไร,😌,"**没什么**，小事。 (**Méi shénme**), xiǎoshì. **ไม่มีอะไร** เป็นเรื่องเล็กน้อย"
chinese-essencial-in-communication-1-thai-to-welcome,欢迎,欢迎,,huānyíng,to welcome,ยินดีต้อนรับ,👋,**欢迎**你来！ (**Huānyíng**) nǐ lái! **ยินดีต้อนรับ**คุณมา!
chinese-essencial-in-communication-1-thai-next-time,下次,下次,,xià cì,next time,ครั้งหน้า,⏭️,**下次**见！ (**Xià cì**) jiàn! เจอ**ครั้งหน้า**!
chinese-essencial-in-communication-1-thai-wednesday,星期三,星期三,,Xīngqīsān,Wednesday,วันพุธ,📅,我**星期三**休息。 (Wǒ **Xīngqīsān**) xiūxi. ฉันพักผ่อน**วันพุธ**
chinese-essencial-in-communication-1-thai-ok,好的,好的,,hǎo de,OK,โอเค,✅,"**好的**，没问题。 (**Hǎo de**), méi wèntí. **โอเค** ไม่มีปัญหา"
chinese-essencial-in-communication-1-thai-friend,朋友,朋友,,péngyou,friend,เพื่อน,🤝,他是我最好的**朋友**。 (Tā shì wǒ zuì hǎo de **péngyou**.) เขาเป็น**เพื่อน**ที่ดีที่สุดของฉัน
chinese-essencial-in-communication-1-thai-daughter,女儿,女儿,,nǚ'ér,daughter,ลูกสาว,👧,我有一个**女儿**。 (Wǒ yǒu yí ge **nǚ'ér**.) ฉันมี**ลูกสาว**หนึ่งคน
chinese-essencial-in-communication-1-thai-to-learn,学,学,,xué,to learn,เรียนรู้,🧠,我**学**中文。 (Wǒ **xué**) Zhōngwén. ฉัน**เรียนรู้**ภาษาจีน
chinese-essencial-in-communication-1-thai-to-teach,教,教,,jiāo,to teach,สอน,👨‍🏫,我**教**中文。 (Wǒ **jiāo**) Zhōngwén. ฉัน**สอน**ภาษาจีน
chinese-essencial-in-communication-1-thai-time,时间,时间,,shíjiān,time,เวลา,⏰,我没有**时间**。 (Wǒ méiyǒu **shíjiān**.) ฉันไม่มี**เวลา**
chinese-essencial-in-communication-1-thai-not-to-have-to-be-without,没有,没有,,méiyǒu,"not to have, to be without","ไม่มี, ปราศจาก",❌,我**没有**钱。 (Wǒ **méiyǒu**) qián. ฉัน**ไม่มี**เงิน
chinese-essencial-in-communication-1-thai-lesson-class,课,课,,kè,"lesson, class","บทเรียน, คลาส",📚,我今天有中文**课**。 (Wǒ jīntiān yǒu Zhōngwén **kè**.) วันนี้ฉันมี**คลาส**ภาษาจีน
chinese-essencial-in-communication-1-thai-to-for,给,给,,gěi,"to, for","ให้, แก่",🎁,我**给**你打电话。 (Wǒ **gěi**) nǐ dǎ diànhuà. ฉันโทรศัพท์**หาคุณ**
chinese-essencial-in-communication-1-thai-to-make-a-phone-call,打,打,,dǎ,to make (a phone call),โทร (โทรศัพท์),📞,我**打**电话。 (Wǒ **dǎ**) diànhuà. ฉัน**โทรศัพท์**
